Station Name,Measurement Timestamp,Wind Direction,Wind Speed,Maximum Wind Speed,Heading
63rd Street Weather Station,2021-07-13 15:59:59.275414,95,1.3,2.1,351.0
63rd Street Weather Station,2021-08-25 03:00:00.703904,250,2.9,5.0,351.0
63rd Street Weather Station,2021-07-25 18:00:00.485615,143,0.0,0.8,350.0
Foster Weather Station,2021-07-14 12:00:00.680254,0,3.3,0.0,
Foster Weather Station,2021-12-07 06:59:59.173357,0,3.3,0.0,
Oak Street Weather Station,2021-10-07 01:00:00.096577,123,0.5,1.1,357.0
Oak Street Weather Station,2021-09-16 05:00:00.599768,119,1.3,3.0,357.0
Foster Weather Station,2021-10-14 18:59:59.534209,0,3.3,0.0,
63rd Street Weather Station,2021-06-03 18:59:59.562808,254,5.2,7.3,351.0
63rd Street Weather Station,2021-08-27 18:00:00.498795,157,0.7,1.2,351.0
63rd Street Weather Station,2021-11-29 08:00:00.690640,241,2.9,4.7,350.0
Oak Street Weather Station,2021-11-20 10:59:59.539641,276,1.6,2.5,357.0
Oak Street Weather Station,2021-07-13 17:00:00.012230,118,0.8,1.4,358.0
Foster Weather Station,2021-06-11 16:00:00.735601,0,3.3,0.0,
Oak Street Weather Station,2021-10-11 16:59:59.336052,345,0.9,1.3,357.0
63rd Street Weather Station,2021-06-29 14:59:59.787467,265,5.5,8.4,351.0
Oak Street Weather Station,2021-08-08 17:00:00.656998,156,1.1,2.5,358.0
Foster Weather Station,2021-08-01 21:59:59.367650,0,3.3,0.0,
63rd Street Weather Station,2021-11-13 18:59:59.779100,263,4.7,7.0,350.0
Foster Weather Station,2021-11-23 23:59:59.457308,0,3.3,0.0,
63rd Street Weather Station,2021-11-16 04:00:00.201059,184,0.8,1.2,350.0
Oak Street Weather Station,2021-11-05 19:00:00.076284,41,1.7,2.9,357.0
Foster Weather Station,2021-09-11 07:00:00.071337,0,3.3,0.0,
Foster Weather Station,2021-08-19 01:00:00.168605,0,3.3,0.0,
Oak Street Weather Station,2021-06-29 10:00:00.807468,312,0.7,1.9,358.0
63rd Street Weather Station,2021-06-03 10:00:00.679335,126,0.8,1.1,352.0
Foster Weather Station,2021-06-17 01:00:00.589515,0,3.3,0.0,
63rd Street Weather Station,2021-11-21 11:59:59.826164,273,6.3,9.4,351.0
63rd Street Weather Station,2021-11-05 10:00:00.055635,236,3.4,5.5,350.0
63rd Street Weather Station,2021-08-31 17:59:59.373515,66,3.4,7.0,351.0
63rd Street Weather Station,2021-12-03 04:59:59.478902,143,0.8,1.2,351.0
Oak Street Weather Station,2021-06-08 04:00:00.086000,0,0.0,0.5,358.0
Foster Weather Station,2021-11-21 02:59:59.351812,0,3.3,0.0,
Foster Weather Station,2021-08-12 21:00:00.563194,0,3.3,0.0,
Oak Street Weather Station,2021-09-23 23:00:00.069514,265,1.7,5.4,357.0
