Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature
63rd Street Weather Station,2021-06-10 18:59:59.625419,22.9,21.9
Foster Weather Station,2021-11-21 03:00:00.287208,5.78,
63rd Street Weather Station,2021-12-12 21:00:00.672252,6.7,3.2
Foster Weather Station,2021-11-05 11:59:59.352933,9.56,
Oak Street Weather Station,2021-12-11 04:00:00.845241,15.4,13.3
Foster Weather Station,2021-10-09 01:59:59.328316,18.28,
Foster Weather Station,2021-12-01 18:59:59.334695,8.89,
Oak Street Weather Station,2021-05-30 16:00:00.033120,15.9,11.5
Oak Street Weather Station,2021-07-13 12:00:00.344508,22.3,20.6
63rd Street Weather Station,2021-08-30 06:59:59.204256,22.8,19.6
63rd Street Weather Station,2021-08-11 05:59:59.576506,24.9,24.3
Foster Weather Station,2021-08-04 16:00:00.106143,25.89,
Foster Weather Station,2021-08-31 12:59:59.205609,23.78,
63rd Street Weather Station,2021-05-25 19:59:59.270209,25.1,19.6
63rd Street Weather Station,2021-09-29 04:59:59.392999,17.9,15.5
Foster Weather Station,2021-10-03 04:00:00.336221,20.5,
Foster Weather Station,2021-07-17 14:59:59.923256,20.5,
63rd Street Weather Station,2021-08-30 08:59:59.548386,23.6,20.1
Foster Weather Station,2021-10-10 13:00:00.472089,23.17,
63rd Street Weather Station,2021-09-18 05:59:59.287585,21.6,18.9
Oak Street Weather Station,2021-08-19 06:59:59.873541,24.3,23.4
63rd Street Weather Station,2021-11-14 09:00:00.617773,3.6,2.6
63rd Street Weather Station,2021-09-23 09:59:59.408088,13.3,10.3
63rd Street Weather Station,2021-08-04 09:00:00.450906,22.6,18.9
Oak Street Weather Station,2021-08-01 12:59:59.851194,20.9,17.7
Oak Street Weather Station,2021-07-13 23:00:00.684461,25.1,21.3
Oak Street Weather Station,2021-09-09 07:59:59.341575,18.2,14.6
Foster Weather Station,2021-09-22 01:00:00.211832,16.0,
Foster Weather Station,2021-12-11 21:59:59.727201,2.0,
63rd Street Weather Station,2021-11-11 13:00:00.540763,10.6,8.4
Oak Street Weather Station,2021-09-25 09:00:00.527670,15.6,12.1
Oak Street Weather Station,2021-12-02 18:59:59.738807,10.7,4.6
Foster Weather Station,2021-09-18 17:59:59.974631,20.89,
Oak Street Weather Station,2021-08-03 10:00:00.590174,23.4,17.7
Foster Weather Station,2021-11-14 10:00:00.186199,2.5,
Oak Street Weather Station,2021-11-18 22:59:59.395685,1.6,-1.4
Oak Street Weather Station,2021-11-26 22:59:59.927184,0.2,-2.7
Oak Street Weather Station,2021-11-06 22:00:00.409040,12.5,7.6
Foster Weather Station,2021-07-04 05:59:59.564045,22.39,
63rd Street Weather Station,2021-10-23 21:59:59.942654,11.4,7.4
Oak Street Weather Station,2021-10-10 13:00:00.655055,24.2,19.8
Foster Weather Station,2021-06-27 11:59:59.305692,26.06,
Foster Weather Station,2021-09-13 09:59:59.306537,24.17,
63rd Street Weather Station,2021-07-14 09:00:00.400550,25.2,22.3
63rd Street Weather Station,2021-09-09 18:00:00.610924,21.2,16.1
Foster Weather Station,2021-11-17 17:00:00.763356,9.28,
63rd Street Weather Station,2021-07-17 06:59:59.835014,20.5,19.9
Oak Street Weather Station,2021-11-20 06:00:00.762701,4.1,1.1
Oak Street Weather Station,2021-06-23 03:59:59.429825,20.0,14.1
Foster Weather Station,2021-09-22 23:00:00.696610,15.78,
63rd Street Weather Station,2021-07-08 04:00:00.882709,19.3,18.7
63rd Street Weather Station,2021-10-15 21:59:59.524604,13.8,10.6
Oak Street Weather Station,2021-11-08 12:00:00.098533,16.0,11.0
63rd Street Weather Station,2021-10-01 04:00:00.444389,19.0,14.5
Foster Weather Station,2021-10-15 02:59:59.484920,14.56,
Oak Street Weather Station,2021-10-24 01:00:00.698089,11.8,7.7
63rd Street Weather Station,2021-12-17 03:00:00.115038,-0.2,-2.4
Oak Street Weather Station,2021-07-24 00:59:59.792306,27.4,23.2
63rd Street Weather Station,2021-06-18 21:00:00.468553,27.4,21.2
Oak Street Weather Station,2021-10-07 18:00:00.341556,22.4,19.9
Oak Street Weather Station,2021-08-19 20:00:00.249238,25.3,23.3
Oak Street Weather Station,2021-07-02 21:59:59.259479,18.6,15.7
Oak Street Weather Station,2021-09-30 08:59:59.327376,19.4,15.9
63rd Street Weather Station,2021-05-19 20:00:00.207285,22.4,19.1
Oak Street Weather Station,2021-11-02 16:59:59.823116,8.2,3.1
Oak Street Weather Station,2021-10-28 22:00:00.626902,14.1,12.8
Oak Street Weather Station,2021-07-31 12:59:59.454401,22.5,18.1
63rd Street Weather Station,2021-11-08 00:00:00.184865,12.6,9.1
Foster Weather Station,2021-06-02 03:59:59.379487,9.89,
Foster Weather Station,2021-06-10 11:59:59.416850,15.39,
63rd Street Weather Station,2021-05-30 13:59:59.601646,14.4,11.3
Foster Weather Station,2021-07-23 08:59:59.747731,27.06,
63rd Street Weather Station,2021-07-17 00:59:59.430203,20.8,20.2
Oak Street Weather Station,2021-07-31 22:59:59.104228,24.1,19.4
63rd Street Weather Station,2021-05-26 21:59:59.187407,15.8,14.9
Oak Street Weather Station,2021-07-25 19:00:00.836085,29.5,18.2
Oak Street Weather Station,2021-08-21 21:59:59.490787,27.3,24.3
63rd Street Weather Station,2021-05-20 09:59:59.129699,23.8,19.1
Foster Weather Station,2021-09-09 07:00:00.033881,15.39,
63rd Street Weather Station,2021-07-12 11:59:59.139224,20.8,20.0
63rd Street Weather Station,2021-10-06 12:00:00.785975,18.5,18.2
Foster Weather Station,2021-09-09 12:00:00.730427,19.67,
63rd Street Weather Station,2021-11-10 18:00:00.180637,13.3,10.9
Foster Weather Station,2021-10-06 22:00:00.003842,19.0,
63rd Street Weather Station,2021-07-11 07:00:00.858906,20.6,19.0
Foster Weather Station,2021-06-12 06:00:00.190461,15.78,
Oak Street Weather Station,2021-09-01 09:59:59.199700,22.1,17.5
