Station Name,Measurement Timestamp,Humidity
Oak Street Weather Station,2021-11-05 13:59:59.356283,41
Foster Weather Station,2021-12-17 08:59:59.712177,55
Foster Weather Station,2021-07-16 03:59:59.325915,85
Foster Weather Station,2021-05-21 06:59:59.123880,55
63rd Street Weather Station,2021-12-03 18:00:00.512257,90
63rd Street Weather Station,2021-09-01 06:59:59.713560,65
Oak Street Weather Station,2021-09-15 08:00:00.605635,69
Foster Weather Station,2021-08-04 07:59:59.622691,56
Oak Street Weather Station,2021-09-21 00:00:00.402736,80
63rd Street Weather Station,2021-10-18 16:59:59.639724,37
Oak Street Weather Station,2021-07-19 16:00:00.246885,78
Foster Weather Station,2021-08-17 21:59:59.149235,82
63rd Street Weather Station,2021-12-16 06:00:00.048890,66
Oak Street Weather Station,2021-10-01 08:00:00.688982,61
63rd Street Weather Station,2021-08-06 13:00:00.761082,67
Oak Street Weather Station,2021-06-01 19:00:00.726195,57
63rd Street Weather Station,2021-09-13 03:59:59.351495,100
Foster Weather Station,2021-07-21 20:59:59.444881,79
63rd Street Weather Station,2021-09-29 17:00:00.832163,85
63rd Street Weather Station,2021-06-28 11:59:59.171577,93
63rd Street Weather Station,2021-07-06 23:00:00.878178,69
Foster Weather Station,2021-09-26 20:59:59.459333,33
63rd Street Weather Station,2021-08-03 11:00:00.250083,63
Foster Weather Station,2021-11-27 11:00:00.319925,60
Oak Street Weather Station,2021-06-18 02:59:59.461418,51
Oak Street Weather Station,2021-06-25 00:59:59.720756,83
Oak Street Weather Station,2021-08-03 06:00:00.130659,57
Foster Weather Station,2021-11-22 13:59:59.686857,24
Oak Street Weather Station,2021-11-16 06:59:59.816356,79
Foster Weather Station,2021-09-19 20:59:59.674333,74
Oak Street Weather Station,2021-09-05 10:00:00.031989,53
Foster Weather Station,2021-12-17 10:59:59.557548,62
63rd Street Weather Station,2021-08-31 09:59:59.583006,56
Foster Weather Station,2021-09-27 06:00:00.569811,60
Oak Street Weather Station,2021-09-11 23:59:59.206164,61
