Station Name,Measurement Timestamp,Rain Intensity,Interval Rain,Total Rain
Oak Street Weather Station,2021-12-08 20:59:59.939157,0.0,0.0,4.2
Foster Weather Station,2021-08-20 06:59:59.152144,,0.0,
Oak Street Weather Station,2021-11-25 14:59:59.669920,0.0,0.0,42.8
Oak Street Weather Station,2021-06-30 04:00:00.210235,0.0,0.0,108.6
63rd Street Weather Station,2021-06-30 19:59:59.904867,0.0,0.0,235.5
Foster Weather Station,2021-08-02 22:00:00.271426,,0.0,
Foster Weather Station,2021-08-09 03:59:59.508779,,0.0,
Foster Weather Station,2021-11-02 14:59:59.948829,,0.0,
Oak Street Weather Station,2021-05-31 21:00:00.591998,0.0,0.0,15.9
Foster Weather Station,2021-08-22 22:00:00.409559,,0.0,
63rd Street Weather Station,2021-11-02 07:59:59.863812,0.0,0.0,60.2
Oak Street Weather Station,2021-11-22 02:00:00.132585,0.0,0.0,41.1
63rd Street Weather Station,2021-07-12 02:59:59.671491,0.0,0.0,264.4
Oak Street Weather Station,2021-08-27 17:59:59.439167,0.0,0.0,195.8
Oak Street Weather Station,2021-06-20 05:59:59.362413,0.0,0.0,27.9
Foster Weather Station,2021-08-27 13:59:59.126603,,0.0,
Oak Street Weather Station,2021-10-06 05:59:59.984085,0.0,0.0,223.9
Oak Street Weather Station,2021-06-05 05:59:59.495913,0.0,0.0,15.9
63rd Street Weather Station,2021-06-15 03:00:00.647821,0.0,0.0,15.3
Oak Street Weather Station,2021-11-12 09:59:59.283506,0.0,0.0,35.8
Oak Street Weather Station,2021-09-02 12:00:00.097240,0.0,0.0,198.3
63rd Street Weather Station,2021-08-24 07:59:59.704590,0.0,0.0,397.6
Foster Weather Station,2021-10-20 22:59:59.153115,,0.0,
Foster Weather Station,2021-11-29 10:00:00.758643,,0.0,
Oak Street Weather Station,2021-09-10 16:00:00.018793,0.0,0.0,202.1
63rd Street Weather Station,2021-10-03 20:00:00.306967,0.0,0.0,569.0
Foster Weather Station,2021-08-12 20:59:59.449350,,0.0,
Foster Weather Station,2021-11-14 05:00:00.336007,,0.0,
Oak Street Weather Station,2021-11-08 10:00:00.192869,0.0,0.0,23.8
Oak Street Weather Station,2021-10-26 10:00:00.444895,0.0,0.0,2.6
63rd Street Weather Station,2021-05-26 08:59:59.848062,0.0,0.0,61.5
Foster Weather Station,2021-11-04 07:00:00.873277,,0.0,
Foster Weather Station,2021-05-30 03:00:00.515818,,0.0,
Foster Weather Station,2021-08-18 01:00:00.082497,,0.0,
63rd Street Weather Station,2021-07-29 00:59:59.447814,0.0,0.0,310.9
Foster Weather Station,2021-10-13 08:00:00.437280,,0.0,
Foster Weather Station,2021-09-24 16:00:00.082657,,0.0,
63rd Street Weather Station,2021-11-27 15:00:00.429372,0.0,0.0,107.4
Oak Street Weather Station,2021-08-26 07:59:59.394653,0.0,0.0,195.8
Foster Weather Station,2021-05-27 22:59:59.625567,,0.0,
Foster Weather Station,2021-07-16 15:00:00.801521,,0.0,
Foster Weather Station,2021-07-28 15:59:59.151252,,0.0,
Foster Weather Station,2021-09-27 09:00:00.672442,,0.0,
Foster Weather Station,2021-10-08 11:59:59.152251,,0.0,
63rd Street Weather Station,2021-09-09 04:59:59.977421,0.0,0.0,498.4
63rd Street Weather Station,2021-08-13 04:59:59.731559,0.0,0.0,395.3
Foster Weather Station,2021-06-08 17:59:59.607682,,0.0,
63rd Street Weather Station,2021-12-13 23:00:00.309390,0.0,0.0,30.0
63rd Street Weather Station,2021-11-13 13:00:00.375698,0.0,0.0,99.4
Oak Street Weather Station,2021-11-06 01:00:00.335608,0.0,0.0,23.8
Foster Weather Station,2021-11-01 21:59:59.847325,,0.0,
63rd Street Weather Station,2021-06-04 22:00:00.622634,0.0,0.0,3.5
63rd Street Weather Station,2021-06-09 14:00:00.892267,0.0,0.0,4.1
Oak Street Weather Station,2021-07-09 22:00:00.484156,0.0,0.0,114.7
63rd Street Weather Station,2021-09-18 02:00:00.046752,0.0,0.0,499.6
Oak Street Weather Station,2021-10-16 21:59:59.484546,0.0,0.0,269.7
63rd Street Weather Station,2021-08-11 10:00:00.878574,0.0,0.0,382.7
63rd Street Weather Station,2021-06-13 20:00:00.469085,0.0,0.0,15.3
Oak Street Weather Station,2021-09-29 19:00:00.558834,0.0,0.0,214.6
Foster Weather Station,2021-09-03 21:59:59.504051,,0.0,
Foster Weather Station,2021-10-29 07:00:00.500657,,0.23,
63rd Street Weather Station,2021-09-25 05:00:00.661551,0.0,0.0,526.7
Oak Street Weather Station,2021-07-07 22:59:59.944400,0.0,0.2,114.6
Oak Street Weather Station,2021-10-07 08:59:59.169842,0.0,0.0,229.4
Oak Street Weather Station,2021-05-30 16:59:59.268858,0.0,0.0,15.9
Foster Weather Station,2021-09-03 14:59:59.308758,,0.74,
Oak Street Weather Station,2021-11-24 03:59:59.984369,0.0,0.0,41.1
Oak Street Weather Station,2021-10-17 13:59:59.762991,0.0,0.0,269.7
Foster Weather Station,2021-06-21 19:00:00.533040,,0.0,
Foster Weather Station,2021-11-26 12:59:59.512267,,0.0,
Oak Street Weather Station,2021-09-02 05:00:00.128518,0.0,0.0,198.3
Oak Street Weather Station,2021-11-26 20:00:00.398608,0.0,0.0,42.8
Foster Weather Station,2021-07-29 16:00:00.345808,,0.0,
Oak Street Weather Station,2021-07-15 02:00:00.387228,0.0,0.0,129.5
Foster Weather Station,2021-12-05 19:00:00.366012,,0.0,
63rd Street Weather Station,2021-09-23 05:59:59.168614,0.0,0.0,518.3
Oak Street Weather Station,2021-10-09 10:00:00.028143,0.0,0.0,238.7
Oak Street Weather Station,2021-07-25 04:00:00.622114,0.0,0.0,140.0
63rd Street Weather Station,2021-05-18 05:59:59.637347,0.0,0.0,11.0
Oak Street Weather Station,2021-12-11 00:00:00.828992,0.0,0.0,24.2
Foster Weather Station,2021-10-06 02:59:59.489562,,0.0,
Foster Weather Station,2021-08-11 17:59:59.942352,,0.0,
Foster Weather Station,2021-08-27 15:59:59.467376,,0.0,
Foster Weather Station,2021-12-05 01:59:59.663374,,0.0,
Foster Weather Station,2021-07-18 11:59:59.528779,,0.0,
Foster Weather Station,2021-06-17 20:59:59.475936,,0.0,
Oak Street Weather Station,2021-07-01 06:59:59.342814,0.0,0.0,112.6
63rd Street Weather Station,2021-07-22 13:59:59.240170,0.0,0.0,282.9
Oak Street Weather Station,2021-08-24 01:59:59.340506,0.0,0.0,168.4
Oak Street Weather Station,2021-06-22 09:59:59.365900,0.0,0.0,34.5
Foster Weather Station,2021-05-19 19:00:00.709409,,0.0,
Foster Weather Station,2021-09-12 03:00:00.520158,,0.0,
Oak Street Weather Station,2021-09-28 06:59:59.132819,0.0,0.0,214.6
Foster Weather Station,2021-09-06 05:59:59.781574,,0.0,
63rd Street Weather Station,2021-11-18 14:00:00.649299,0.0,0.0,103.0
Foster Weather Station,2021-06-13 06:59:59.825344,,0.0,
63rd Street Weather Station,2021-12-10 18:00:00.645676,1.8,0.2,32.6
63rd Street Weather Station,2021-12-13 10:59:59.337940,0.0,0.0,30.0
63rd Street Weather Station,2021-09-07 09:00:00.360956,0.0,0.0,489.5
63rd Street Weather Station,2021-07-05 06:00:00.396659,0.0,0.0,235.7
63rd Street Weather Station,2021-10-28 16:00:00.857884,0.6,4.5,9.4
63rd Street Weather Station,2021-07-29 05:59:59.440908,0.0,0.8,324.2
Oak Street Weather Station,2021-05-21 14:59:59.365692,0.0,0.0,22.8
Oak Street Weather Station,2021-08-31 20:00:00.065073,0.0,0.0,198.2
Oak Street Weather Station,2021-05-27 16:00:00.012360,1.8,0.5,37.5
Oak Street Weather Station,2021-07-11 01:00:00.253093,0.0,0.0,117.7
63rd Street Weather Station,2021-06-04 17:59:59.893364,0.0,0.0,3.5
63rd Street Weather Station,2021-12-13 19:59:59.945660,0.0,0.0,30.0
Foster Weather Station,2021-10-11 02:59:59.932341,,0.0,
Oak Street Weather Station,2021-12-12 21:00:00.053898,0.0,0.0,24.2
63rd Street Weather Station,2021-11-04 12:00:00.878271,0.0,0.0,60.2
Foster Weather Station,2021-06-05 16:59:59.215711,,0.0,
63rd Street Weather Station,2021-07-30 15:00:00.082525,0.0,0.0,324.2
Oak Street Weather Station,2021-10-23 21:59:59.867494,0.0,0.0,269.8
63rd Street Weather Station,2021-05-21 12:59:59.529246,0.0,0.0,18.2
Foster Weather Station,2021-06-17 04:00:00.666189,,0.0,
Foster Weather Station,2021-12-03 18:59:59.354509,,0.0,
Foster Weather Station,2021-07-23 14:00:00.816391,,0.0,
63rd Street Weather Station,2021-12-05 11:59:59.817757,0.0,0.6,4.9
Foster Weather Station,2021-06-13 07:59:59.527281,,0.0,
Oak Street Weather Station,2021-10-03 20:00:00.654160,0.0,0.0,223.8
63rd Street Weather Station,2021-10-25 14:59:59.184543,0.0,0.0,1.2
Foster Weather Station,2021-06-14 00:00:00.113536,,0.0,
63rd Street Weather Station,2021-08-28 17:59:59.552108,0.0,0.0,482.1
Oak Street Weather Station,2021-08-29 18:00:00.553121,0.0,0.0,198.2
Oak Street Weather Station,2021-09-13 14:00:00.512515,0.0,0.0,202.1
Oak Street Weather Station,2021-08-17 11:59:59.242199,0.0,0.0,164.1
Oak Street Weather Station,2021-06-01 16:00:00.319546,0.0,0.0,15.9
Oak Street Weather Station,2021-08-12 05:00:00.638190,0.0,0.0,164.1
63rd Street Weather Station,2021-06-19 16:00:00.896324,0.0,0.0,0.8
Oak Street Weather Station,2021-09-27 23:59:59.742943,0.0,0.0,214.6
Foster Weather Station,2021-06-25 01:00:00.053891,,0.0,
Oak Street Weather Station,2021-11-22 09:00:00.722436,0.0,0.0,41.1
Foster Weather Station,2021-08-02 04:59:59.356210,,0.0,
63rd Street Weather Station,2021-10-26 15:00:00.558869,0.0,0.0,1.2
Foster Weather Station,2021-08-10 06:59:59.889988,,0.0,
Foster Weather Station,2021-07-24 16:00:00.688921,,0.0,
63rd Street Weather Station,2021-05-17 17:59:59.821057,0.0,0.0,11.0
Oak Street Weather Station,2021-10-16 13:00:00.561768,0.0,0.0,269.7
Foster Weather Station,2021-12-15 18:59:59.712228,,0.0,
63rd Street Weather Station,2021-11-13 02:00:00.444845,0.0,0.0,99.2
Oak Street Weather Station,2021-06-11 18:00:00.700281,0.0,0.0,16.1
63rd Street Weather Station,2021-06-08 16:59:59.674868,0.0,0.0,4.1
63rd Street Weather Station,2021-06-06 05:59:59.659368,0.0,0.0,3.5
Foster Weather Station,2021-06-27 04:59:59.957457,,0.0,
Oak Street Weather Station,2021-11-03 23:59:59.666957,0.0,0.0,23.8
63rd Street Weather Station,2021-08-31 22:59:59.396046,0.0,0.0,487.2
Foster Weather Station,2021-12-01 23:59:59.915699,,0.0,
Foster Weather Station,2021-07-16 04:00:00.630341,,0.0,
63rd Street Weather Station,2021-12-03 19:00:00.009658,0.0,0.0,107.4
Oak Street Weather Station,2021-06-22 00:59:59.688685,0.0,0.0,34.5
Oak Street Weather Station,2021-07-09 09:00:00.137240,0.0,0.0,114.7
Foster Weather Station,2021-10-15 14:00:00.023846,,0.3,
Foster Weather Station,2021-10-22 16:00:00.376305,,0.0,
Foster Weather Station,2021-06-02 04:59:59.579174,,0.0,
Oak Street Weather Station,2021-10-03 17:59:59.231734,0.0,0.0,223.8
Oak Street Weather Station,2021-09-14 12:59:59.332072,0.0,0.0,202.1
Foster Weather Station,2021-09-15 04:00:00.374977,,0.0,
Foster Weather Station,2021-09-21 19:59:59.737575,,0.0,
63rd Street Weather Station,2021-12-01 23:00:00.004997,0.0,0.0,107.4
Foster Weather Station,2021-06-05 23:59:59.188099,,0.0,
Foster Weather Station,2021-05-24 00:00:00.836378,,0.0,
Foster Weather Station,2021-07-25 20:00:00.369066,,0.0,
63rd Street Weather Station,2021-08-01 19:59:59.627340,0.0,0.0,324.2
Oak Street Weather Station,2021-07-23 01:59:59.103400,0.0,0.0,132.3
Foster Weather Station,2021-10-09 15:00:00.518596,,0.0,
63rd Street Weather Station,2021-12-13 15:59:59.585005,0.0,0.0,30.0
Oak Street Weather Station,2021-11-26 11:59:59.175901,0.0,0.0,42.8
Foster Weather Station,2021-11-05 07:59:59.308955,,0.0,
63rd Street Weather Station,2021-08-24 18:00:00.635701,0.0,0.0,397.6
63rd Street Weather Station,2021-12-11 17:59:59.892845,0.0,0.0,30.0
Foster Weather Station,2021-11-08 11:00:00.139937,,0.0,
63rd Street Weather Station,2021-07-03 16:59:59.582390,0.0,0.0,235.7
Foster Weather Station,2021-09-26 17:59:59.496773,,0.0,
Oak Street Weather Station,2021-06-11 04:00:00.610961,0.0,0.0,16.1
63rd Street Weather Station,2021-10-06 06:59:59.781041,0.0,0.0,570.0
63rd Street Weather Station,2021-10-03 08:00:00.500547,0.0,0.0,536.6
Oak Street Weather Station,2021-09-08 08:59:59.222638,0.0,0.0,202.1
63rd Street Weather Station,2021-05-21 16:59:59.657278,0.0,0.0,18.2
63rd Street Weather Station,2021-08-19 13:59:59.939509,0.0,0.0,395.3
Foster Weather Station,2021-07-01 21:59:59.224902,,0.0,
